# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.count,1789048753171000000,1789048813182000000,7
writeAction.wait.ms,1789048753171000000,1789048813182000000,2
writeAction.median.wait.ms,1789048753171000000,1789048813182000000,0
writeAction.max.wait.ms,1789048753171000000,1789048813182000000,2
Indexes.allKeys.lookups,1789048753171000000,1789048813182000000,0.0
Indexes.stubs.lookupDurationMaxMs,1789048753171000000,1789048813182000000,0.0
IndexesFlusher.totalFlushesRetried,1789048753171000000,1789048813182000000,0
Indexes.entries.lookups,1789048753171000000,1789048813182000000,7.0
Indexes.allKeys.lookupDuration90PMs,1789048753171000000,1789048813182000000,0.0
Indexes.stubs.lookupDurationAvgMs,1789048753171000000,1789048813182000000,0.0
Indexes.stubs.lookups,1789048753171000000,1789048813182000000,0.0
Indexes.entries.lookupDuration90PMs,1789048753171000000,1789048813182000000,29.0
IndexesFlusher.totalContentionQuotaSpent,1789048753171000000,1789048813182000000,0
IndexesFlusher.totalFlushes,1789048753171000000,1789048813182000000,58
Indexes.entries.lookupDurationMaxMs,1789048753171000000,1789048813182000000,29.0
IndexesFlusher.totalFlushingTimeUs,1789048753171000000,1789048813182000000,336369
Indexes.allKeys.lookupDurationMaxMs,1789048753171000000,1789048813182000000,0.0
Indexes.entries.lookupDurationAvgMs,1789048753171000000,1789048813182000000,7.857142857142857
Indexes.stubs.lookupDuration90PMs,1789048753171000000,1789048813182000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1789048753171000000,1789048813182000000,0.0
FilePageCacheLockFree.totalPageAllocationsWaited,1789048753171000000,1789048813182000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1789048753171000000,1789048813182000000,0
FilePageCacheLockFree.totalPagesWriteMs,1789048753171000000,1789048813182000000,0
FilePageCacheLockFree.totalBytesRequested,1789048753171000000,1789048813182000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1789048753171000000,1789048813182000000,0
StorageLockContext.competingThreads.max,1789048753171000000,1789048813182000000,15
StorageLockContext.competingThreads.90P,1789048753171000000,1789048813182000000,0
FilePageCache.maxCacheSizeInBytes,1789048753171000000,1789048813182000000,212877312
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1789048753171000000,1789048813182000000,0
StorageLockContext.competingThreads.avg,1789048753171000000,1789048813182000000,0.12605042016806722
DirectByteBufferAllocator.reclaimed,1789048753171000000,1789048813182000000,3
FilePageCacheLockFree.totalClosedStoragesReclaimed,1789048753171000000,1789048813182000000,0
FilePageCache.pageFastCacheHits,1789048753171000000,1789048813182000000,4411
StreamlinedBlobStorage.recordsDeleted,1789048753171000000,1789048813182000000,19
FilePageCacheLockFree.totalPagesAllocated,1789048753171000000,1789048813182000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1789048753171000000,1789048813182000000,212877312
FilePageCacheLockFree.totalPagesReclaimed,1789048753171000000,1789048813182000000,0
FilePageCache.totalPageLoadsUs,1789048753171000000,1789048813182000000,386725
StreamlinedBlobStorage.recordsAllocated,1789048753171000000,1789048813182000000,2667
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1789048753171000000,1789048813182000000,213198
FilePageCacheLockFree.housekeeperTurnsSkipped,1789048753171000000,1789048813182000000,0
